PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Remnant, Emily J.; Shi, Mang; Buchmann, Gabriele; Blacquiere, Tjeerd; Holmes, Edward C.; Beekman, Madeleine; Ashe, Alyson								A Diverse Range of Novel RNA Viruses in Geographically Distinct Honey Bee Populations								JOURNAL OF VIROLOGY				91	16					UNSP e00158-17	10.1128/JVI.00158-17			AUG 2017	2017										10							WOS:000406406600004		
J	Brutscher, Laura M.; Daughenbaugh, Katie F.; Flenniken, Michelle L.								Virus and dsRNA-triggered transcriptional responses reveal key components of honey bee antiviral defense								SCIENTIFIC REPORTS				7						6448	10.1038/s41598-017-06623-z			JUL 25 2017	2017										4							WOS:000406281400013		
J	vanEngelsdorp, Dennis; Traynor, Kirsten S.; Andree, Michael; Lichtenberg, Elinor M.; Chen, Yanping; Saegerman, Claude; Cox-Foster, Diana L.								Colony Collapse Disorder (CCD) and bee age impact honey bee pathophysiology								PLOS ONE				12	7					e0179535	10.1371/journal.pone.0179535			JUL 17 2017	2017										1							WOS:000443975500003		
J	Natsopoulou, Myrsini E.; McMahon, Dino P.; Doublet, Vincent; Frey, Eva; Rosenkranz, Peter; Paxton, Robert J.								The virulent, emerging genotype B of Deformed wing virus is closely linked to overwinter honeybee worker loss								SCIENTIFIC REPORTS				7						5242	10.1038/s41598-017-05596-3			JUL 12 2017	2017										5							WOS:000405425000046		
J	Gosselin-Badaroudine, Pascal; Chahine, Mohamed								Biophysical characterization of the Varroa destructor Na(V)1 sodium channel and its affinity for tau-fluvalinate insecticide								FASEB JOURNAL				31	7			3066	3071		10.1096/fj.201601338R			JUL 2017	2017										2							WOS:000405931000030		
J	Gisder, Sebastian; Genersch, Elke								Viruses of commercialized insect pollinators								JOURNAL OF INVERTEBRATE PATHOLOGY				147				51	59		10.1016/j.jip.2016.07.010			JUL 2017	2017										8							WOS:000404801500005		
J	Papini, Roberto; Mancianti, Francesca; Canovai, Roberto; Cosci, Francesca; Rocchigiani, Guido; Benelli, Giovanni; Canale, Angelo								Prevalence of the microsporidian Nosema ceranae in honeybee (Apis mellifera) apiaries in Central Italy								SAUDI JOURNAL OF BIOLOGICAL SCIENCES				24	5			979	982		10.1016/j.sjbs.2017.01.010			JUL 2017	2017						13th Conference of the Asian-Apicultural-Association (AAA)	APR 24-26, 2016	Asian Apicultural Assoc	Jeddah, SAUDI ARABIA	1							WOS:000404566700003		
J	Ansari, Mohammad Javed; Al-Ghamdi, Ahmad; Adgaba, Nuru; Khan, Khalid Ali; Alattal, Yehya								Geographical distribution and molecular detection of Nosema ceranae from indigenous honey bees of Saudi Arabia								SAUDI JOURNAL OF BIOLOGICAL SCIENCES				24	5			983	991		10.1016/j.sjbs.2017.01.054			JUL 2017	2017						13th Conference of the Asian-Apicultural-Association (AAA)	APR 24-26, 2016	Asian Apicultural Assoc	Jeddah, SAUDI ARABIA	4							WOS:000404566700004		
J	Aljedani, Dalal Musleh								Effects of abamectin and deltamethrin to the foragers honeybee workers of Apis mellifera jemenatica (Hymenoptera: Apidae) under laboratory conditions								SAUDI JOURNAL OF BIOLOGICAL SCIENCES				24	5			1007	1015		10.1016/j.sjbs.2016.12.007			JUL 2017	2017						13th Conference of the Asian-Apicultural-Association (AAA)	APR 24-26, 2016	Asian Apicultural Assoc	Jeddah, SAUDI ARABIA	1							WOS:000404566700008		
J	Carreck, Norman L.								A beekeeper's perspective on the neonicotinoid ban								PEST MANAGEMENT SCIENCE				73	7			1295	1298		10.1002/ps.4489			JUL 2017	2017						Neonicotinoids Conference of the Society-Chemical-Industry (SCI) on Are Neonicotinoids Killing Bees	SEP 22, 2016	Soc Chem Ind, Agrisciences Tech Interest Grp	London, ENGLAND	4							WOS:000403023000002		
J	De Piano, Fiorella G.; Maggi, Matias; Pellegrini, Maria C.; Cugnata, Noelia M.; Szawarski, Nicolas; Buffa, Franco; Negri, Pedro; Fuselli, Sandra R.; Audisio, Carina M.; Ruffinengo, Sergio R.								EFFECTS OF LACTOBACILLUS JOHNSONII AJ5 METABOLITES ON NUTRITION, NOSEMA CERANAE DEVELOPMENT AND PERFORMANCE OF APIS MELLIFERA L.								JOURNAL OF APICULTURAL SCIENCE				61	1			93	104		10.1515/JAS-2017-0007			JUN 17 2017	2017										0							WOS:000404565200007		
J	Daisley, Brendan A.; Trinder, Mark; McDowell, Tim W.; Welle, Hylke; Dube, Josh S.; Ali, Sohrab N.; Leong, Hon S.; Sumarah, Mark W.; Reid, Gregor								Neonicotinoid-induced pathogen susceptibility is mitigated by Lactobacillus plantarum immune stimulation in a Drosophila melanogaster model								SCIENTIFIC REPORTS				7						2703	10.1038/s41598-017-02806-w			JUN 2 2017	2017										5							WOS:000402515800021		
J	Benuszak, Johanna; Laurent, Marion; Chauzat, Marie-Pierre								The exposure of honey bees (Apis mellifera; Hymenoptera: Apidae) to pesticides: Room for improvement in research								SCIENCE OF THE TOTAL ENVIRONMENT				587				423	438		10.1016/j.scitotenv.2017.02.062			JUN 1 2017	2017										8							WOS:000399845800045		
